ticker,name,market,country,sector,price,currency,high_52w,discount_52w,market_cap_mln,volume_k,smi,smi_ema,zone,signal,eps_ttm,sales_ttm_mln,quick_ratio,scanned_at
IMO,Imperial Oil Limited,USA,Canada,Energy,134.73,USD,135.04,0.2,66992.9,708.4,50.05,49.24,OVERBOUGHT,BUY,4.31,45203.0,0.83,2026-05-17T12:04:00.360786
VLO,Valero Energy Corporation,USA,United States,Energy,250.74,USD,258.43,3.0,74452.9,3650.6,46.26,45.78,OVERBOUGHT,BUY,13.69,122687.0,1.11,2026-05-17T12:04:00.596644
SUNC,SunocoCorp LLC,USA,United States,Energy,71.4,USD,71.71,0.4,3678.3,567.4,74.6,70.27,OVERBOUGHT,BUY,9.6,25201.0,0.78,2026-05-17T12:04:00.675738
MICC,The Magnum Ice Cream Company N.,USA,Netherlands,Consumer Defensive,16.66,USD,19.93,16.4,10209.9,1624.2,-6.61,-34.2,Bearish,Strong BUY,0.56,7910.0,0.74,2026-05-17T12:04:00.747772
WLDN,"Willdan Group, Inc.",USA,United States,Industrials,92.12,USD,137.0,32.8,1392.0,394.0,-22.56,-44.42,Bearish,Strong BUY,3.72,681.6,1.56,2026-05-17T12:04:01.152621
SKE,Skeena Resources Limited,USA,Canada,Basic Materials,30.99,USD,38.77,20.1,3779.0,804.3,-3.28,-5.19,Bearish,BUY,-1.16,0.0,1.82,2026-05-17T12:04:01.311761
DVN,Devon Energy Corporation,USA,United States,Energy,49.49,USD,52.71,6.1,57061.5,15377.8,18.99,22.42,Bullish,Turning Up,3.59,17188.0,0.9,2026-05-17T12:04:01.736464
SIDU,"Sidus Space, Inc.",USA,United States,Industrials,4.01,USD,5.99,33.1,324.3,17491.0,-5.58,-3.01,Bearish,Turning Up,-1.19,3.4,3.36,2026-05-17T12:04:01.804491
PATK,"Patrick Industries, Inc.",USA,United States,Consumer Cyclical,91.19,USD,148.5,38.6,2999.5,463.9,-67.38,-68.83,OVERSOLD,Strong BUY,3.89,3950.8,0.8,2026-05-17T12:04:02.208435
MBI,MBIA Inc.,USA,United States,Financial Services,5.86,USD,8.26,29.1,298.5,346.4,-53.65,-52.48,OVERSOLD,Turning Up,-3.04,80.0,,2026-05-17T12:04:02.261104
VAL,Valaris Limited,USA,Bermuda,Energy,105.43,USD,105.52,0.1,7301.2,1123.6,40.17,38.58,OVERBOUGHT,BUY,14.15,2369.0,1.77,2026-05-17T12:04:02.448098
NFGC,New Found Gold Corp,USA,Canada,Basic Materials,2.02,USD,3.59,43.7,775.8,1930.5,-35.7,-41.77,Bearish,Strong BUY,-0.18,5.8,3.48,2026-05-17T12:04:02.518669
CNTN,"Canton Strategic Holdings, Inc.",USA,United States,Healthcare,3.62,USD,9.08,60.1,205.1,592.8,-65.54,-67.76,OVERSOLD,Strong BUY,-1.12,0.0,5.29,2026-05-17T12:04:02.595049
SDRL,Seadrill Limited,USA,United States,Energy,52.7,USD,52.87,0.3,3295.4,763.0,74.73,70.41,OVERBOUGHT,BUY,-1.12,1437.0,2.03,2026-05-17T12:04:02.652213
FCX,"Freeport-McMoRan, Inc.",USA,United States,Basic Materials,63.01,USD,70.97,11.2,90580.6,17172.0,9.56,11.37,Bullish,Turning Up,1.89,25915.0,1.05,2026-05-17T12:04:02.753954
